gene_id	DB_1_F_02_S44_L004_	DB_1_F_04_S46_L004_	DB_1_F_06_S48_L004_	DB_1_F_10_S51_L004_	DB_1_F_12_S53_L004_	DB_1_F_14_S55_L004_	DB_1_L_01_S43_L004_	DB_1_L_03_S45_L004_	DB_1_L_05_S47_L004_	DB_1_L_07_S49_L004_	DB_1_L_09_S50_L004_	DB_1_L_11_S52_L004_	DB_1_L_13_S54_L004_	DB_1_L_15_S56_L004_	DB_2_F_02_S58_L004_	DB_2_F_04_S60_L004_	DB_2_F_06_S62_L004_	DB_2_F_10_S65_L004_	DB_2_F_12_S67_L004_	DB_2_F_14_S69_L004_	DB_2_L_01_S57_L004_	DB_2_L_03_S59_L004_	DB_2_L_05_S61_L004_	DB_2_L_07_S63_L004_	DB_2_L_09_S64_L004_	DB_2_L_11_S66_L004_	DB_2_L_13_S68_L004_	DB_2_L_15_S70_L004_	DB_3_F_02_S72_L004_	DB_3_F_04_S74_L004_	DB_3_F_06_S76_L004_	DB_3_F_10_S79_L004_	DB_3_F_12_S81_L004_	DB_3_F_14_S83_L004_	DB_3_L_01_S71_L004_	DB_3_L_03_S73_L004_	DB_3_L_05_S75_L004_	DB_3_L_07_S77_L004_	DB_3_L_09_S78_L004_	DB_3_L_11_S80_L004_	DB_3_L_13_S82_L004_	DB_3_L_15_S84_L004_	MB_1_F_04_S1_L001_	MB_1_F_05_S2_L001_	MB_1_F_06_S3_L001_	MB_1_F_12_S4_L001_	MB_1_F_13_S5_L001_	MB_1_F_14_S6_L001_	MB_1_L_01_S7_L001_	MB_1_L_02_S8_L001_	MB_1_L_03_S9_L001_	MB_1_L_07_S10_L001_	MB_1_L_09_S11_L001_	MB_1_L_10_S12_L001_	MB_1_L_11_S13_L001_	MB_1_L_15_S14_L001_	MB_2_F_04_S15_L001_	MB_2_F_05_S16_L001_	MB_2_F_06_S17_L001_	MB_2_F_12_S18_L001_	MB_2_F_13_S19_L001_	MB_2_F_14_S20_L001_	MB_2_L_01_S21_L001_	MB_2_L_02_S22_L001_	MB_2_L_03_S23_L001_	MB_2_L_07_S24_L001_	MB_2_L_09_S25_L001_	MB_2_L_11_S26_L001_	MB_2_L_15_S27_L001_	MB_3_F_04_S28_L001_	MB_3_F_05_S29_L001_	MB_3_F_06_S30_L001_	MB_3_F_12_S31_L001_	MB_3_F_13_S32_L001_	MB_3_F_14_S33_L001_	MB_3_L_01_S34_L001_	MB_3_L_02_S35_L001_	MB_3_L_03_S36_L001_	MB_3_L_07_S37_L001_	MB_3_L_08_S38_L001_	MB_3_L_09_S39_L001_	MB_3_L_10_S40_L001_	MB_3_L_11_S41_L001_	MB_3_L_15_S42_L001_	MJS_1_F_05_S43_L001_	MJS_1_F_06_S44_L001_	MJS_1_F_07_S45_L001_	MJS_1_F_13_S46_L001_	MJS_1_F_14_S47_L001_	MJS_1_F_15_S48_L001_	MJS_1_L_01_S49_L001_	MJS_1_L_02_S50_L001_	MJS_1_L_03_S51_L001_	MJS_1_L_04_S52_L001_	MJS_1_L_09_S53_L001_	MJS_1_L_10_S54_L001_	MJS_1_L_11_S55_L001_	MJS_1_L_12_S56_L001_	MJS_2_F_04_S57_L001_	MJS_2_F_05_S58_L001_	MJS_2_F_06_S59_L001_	MJS_2_F_12_S60_L001_	MJS_2_F_13_S61_L001_	MJS_2_F_14_S62_L001_	MJS_2_L_01_S63_L001_	MJS_2_L_02_S64_L001_	MJS_2_L_03_S65_L001_	MJS_2_L_07_S66_L001_	MJS_2_L_09_S67_L001_	MJS_2_L_10_S68_L001_	MJS_2_L_11_S69_L001_	MJS_2_L_15_S70_L001_	MJS_3_F_04_S71_L001_	MJS_3_F_06_S72_L001_	MJS_3_F_12_S73_L001_	MJS_3_F_13_S74_L001_	MJS_3_F_14_S75_L001_	MJS_3_F_16_S76_L001_	MJS_3_L_01_S77_L001_	MJS_3_L_02_S78_L001_	MJS_3_L_03_S79_L001_	MJS_3_L_07_S80_L001_	MJS_3_L_09_S81_L001_	MJS_3_L_10_S82_L001_	MJS_3_L_11_S83_L001_	MJS_3_L_15_S84_L001_	NM_1_F_04_S4_L004_	NM_1_F_05_S5_L004_	NM_1_F_06_S6_L004_	NM_1_F_12_S11_L004_	NM_1_F_13_S12_L004_	NM_1_F_14_S13_L004_	NM_1_L_01_S1_L004_	NM_1_L_02_S2_L004_	NM_1_L_03_S3_L004_	NM_1_L_07_S7_L004_	NM_1_L_09_S8_L004_	NM_1_L_10_S9_L004_	NM_1_L_11_S10_L004_	NM_1_L_15_S14_L004_	NM_2_F_04_S18_L004_	NM_2_F_05_S19_L004_	NM_2_F_06_S20_L004_	NM_2_F_12_S25_L004_	NM_2_F_13_S26_L004_	NM_2_F_14_S27_L004_	NM_2_L_01_S15_L004_	NM_2_L_02_S16_L004_	NM_2_L_03_S17_L004_	NM_2_L_07_S21_L004_	NM_2_L_09_S22_L004_	NM_2_L_10_S23_L004_	NM_2_L_11_S24_L004_	NM_2_L_15_S28_L004_	NM_3_F_04_S32_L004_	NM_3_F_05_S33_L004_	NM_3_F_06_S34_L004_	NM_3_F_12_S39_L004_	NM_3_F_13_S40_L004_	NM_3_F_14_S41_L004_	NM_3_L_01_S29_L004_	NM_3_L_02_S30_L004_	NM_3_L_03_S31_L004_	NM_3_L_07_S35_L004_	NM_3_L_09_S36_L004_	NM_3_L_10_S37_L004_	NM_3_L_11_S38_L004_	NM_3_L_15_S42_L004_
ERCC-00002(+)	1.6877	1.2508	1.215	1.8701	1.5478	1.5152	2.0579	1.9084	1.2199	1.3887	2.7276	2.753	1.2127	1.2366	0.1319	0.1359	0.1465	0.6738	0.6451	0.5949	0.1322	0.1192	0.1238	0.1351	0.646	0.6224	0.5913	0.5654	0.1483	0.1459	0.1392	0.1589	0.1735	0.1956	0.1186	0.1273	0.1221	0.1194	0.1726	0.1847	0.162	0.164	0.1392	0.1396	0.1361	0.1121	0.1225	0.1254	0.1509	0.1618	0.1334	0.1361	0.1293	0.1359	0.1227	0.1344	0.2015	0.2468	0.2509	0.1738	0.2488	0.2058	0.2446	0.0832	0.2353	0.2442	0.2639	0.1456	0.2835	0.3493	0.3272	0.2859	0.2401	0.1926	0.2558	0.2688	0.2756	0.2646	0.3247	0.3849	0.1913	0.2133	0.2327	0.1747	0.1911	0.1909	0.1887	0.1962	0.1973	0.1683	0.1774	0.1844	0.1993	0.2081	0.1824	0.177	0.1568	0.186	0.2097	0.1973	0.1911	0.2153	0.2117	0.2211	0.2247	0.2156	0.2058	0.1837	0.2143	0.2249	0.1896	0.2144	0.2932	0.296	0.1531	0.177	0.1691	0.2945	0.2574	0.2741	0.2105	0.307	0.1847	0.1702	0.1491	0.1528	0.2413	0.2465	0.1545	0.1499	0.1769	0.2063	0.2568	0.1638	0.1623	0.1781	0.1866	0.1565	0.155	0.1434	0.1576	0.2052	0.1932	0.1618	0.1762	0.2143	0.1747	0.1611	0.1623	0.1602	0.163	0.1643	0.128	0.1645	0.164	0.1331	0.1541	0.1316	0.1528	0.1427	0.2159	0.1532	0.1368	0.1635	0.152	0.1344	0.1347	0.1399
ERCC-00003(+)	0.114	0.1231	0.1558	0.0788	0.0983	0.2364	0.0997	0.1028	0.1516	0.135	0.1141	0.1134	0.132	0.1416	0.0883	0.0598	0.1033	0.33	0.3038	0.3547	0.0878	0.081	0.0835	0.1042	0.3452	0.3102	0.2812	0.3001	0.1122	0.084	0.0879	0.0981	0.1493	0.1453	0.0959	0.096	0.0977	0.0662	0.1196	0.1289	0.1001	0.0947	0.0884	0.0882	0.1028	0.1373	0.0883	0.0852	0.1216	0.0828	0.078	0.0951	0.0962	0.0643	0.1224	0.0908	0.0522	0.0482	0.0549	0.0583	0.0762	0.0607	0.0624	0.1131	0.0832	0.05	0.0701	0.0691	0.0863	0.0671	0.0543	0.0697	0.0628	0.0506	0.0512	0.0503	0.0517	0.0652	0.0932	0.065	0.0511	0.0551	0.0546	0.0878	0.1337	0.1651	0.1428	0.1514	0.1549	0.113	0.1508	0.1064	0.1196	0.1377	0.1331	0.0926	0.1124	0.1298	0.2041	0.142	0.1563	0.181	0.0986	0.1251	0.1799	0.1747	0.2384	0.1763	0.153	0.1596	0.1544	0.1243	0.1134	0.1071	0.0745	0.0708	0.09	0.1072	0.1155	0.1169	0.0747	0.1245	0.1184	0.0875	0.0659	0.0644	0.169	0.0773	0.146	0.1997	0.2083	0.2193	0.3231	0.0789	0.088	0.1182	0.1671	0.18	0.0726	0.1398	0.2859	0.1965	0.2499	0.1627	0.2396	0.2448	0.1437	0.1138	0.1843	0.1323	0.1132	0.1093	0.1857	0.1279	0.0708	0.1704	0.0821	0.3333	0.2436	0.1286	0.199	0.0891	0.087	0.0516	0.09	0.0698	0.0769	0.0825
ERCC-00004(+)	0.086	0.0926	0.0905	0.1139	0.1112	0.2068	0.093	0.0868	0.0955	0.1087	0.0908	0.0943	0.1267	0.1195	0.1273	0.1246	0.1167	0.3103	0.2645	0.2531	0.1517	0.1465	0.1475	0.1415	0.3181	0.2819	0.2956	0.2784	0.1073	0.1337	0.1145	0.1344	0.1515	0.1535	0.1196	0.1235	0.1442	0.1197	0.1631	0.1566	0.143	0.1596	0.0954	0.0925	0.0845	0.0851	0.1022	0.0926	0.0963	0.0975	0.0835	0.1036	0.0936	0.1019	0.0788	0.0895	0.1179	0.1306	0.1368	0.1279	0.15	0.0954	0.1291	0.0867	0.1554	0.1376	0.1696	0.1105	0.2059	0.1602	0.1766	0.1688	0.1106	0.1109	0.098	0.1108	0.153	0.1442	0.1982	0.1899	0.1258	0.1226	0.088	0.0933	0.0814	0.0851	0.0788	0.0901	0.0802	0.0893	0.0845	0.0858	0.089	0.0866	0.0898	0.0866	0.0821	0.0911	0.0861	0.0924	0.0888	0.0949	0.0973	0.0934	0.0865	0.0924	0.0883	0.0861	0.0938	0.1065	0.0877	0.0948	0.0927	0.0988	0.0768	0.0791	0.0849	0.1005	0.0954	0.0969	0.0837	0.0993	0.077	0.0751	0.0769	0.0771	0.1606	0.1203	0.0814	0.2008	0.1064	0.1047	0.1332	0.0816	0.0874	0.11	0.1131	0.0962	0.0841	0.1204	0.1704	0.1195	0.0927	0.0809	0.1358	0.1157	0.1181	0.111	0.1079	0.1179	0.138	0.0882	0.12	0.1025	0.1099	0.1037	0.0816	0.0691	0.076	0.1028	0.1663	0.0883	0.0782	0.1248	0.0982	0.0919	0.0831	0.0857
ERCC-00009(+)	0.7705	0.6421	0.5888	0.9026	0.6775	0.4401	0.884	0.6595	0.4929	0.4438	1.0674	1.1315	0.5791	0.5321	0.8213	0.6949	0.5683	1.937	1.4843	1.3953	0.5797	0.5737	0.5218	0.577	1.6975	1.2806	1.5269	1.3792	0.8548	0.4842	0.8394	0.9321	0.8164	0.7437	0.6484	0.7599	0.5989	0.7491	0.6834	0.709	0.7176	1.1005	0.2954	0.3081	0.2937	0.2961	0.3725	0.4828	0.4074	0.389	0.3516	0.4211	0.3789	0.2307	0.224	0.3069	0.2011	0.1855	0.1575	0.1651	0.144	0.1328	0.165	0.2114	0.192	0.1248	0.1621	0.1477	0.1623	0.1462	0.108	0.1064	0.2397	0.2078	0.2438	0.0964	0.1291	0.1541	0.1505	0.1447	0.1857	0.0859	0.2384	0.1594	0.3199	0.2041	0.514	0.3117	0.33	0.2283	0.272	0.2229	0.3251	0.2397	0.2256	0.2847	0.2185	0.3458	0.3022	0.3379	0.4299	0.2328	0.3351	0.2397	0.2699	0.3013	0.5652	0.3515	0.3829	0.2034	0.375	0.3917	0.4321	0.3843	0.2694	0.3091	0.3163	0.5385	0.4258	0.3861	0.4164	0.3287	0.3135	0.2473	0.263	0.3172	0.7458	0.9993	0.3311	0.4149	0.7663	0.7431	1.0187	0.401	0.8095	0.575	0.6371	0.6696	0.4577	0.4323	0.2986	0.7594	0.5238	0.47	0.5455	0.612	0.5507	0.731	0.6125	0.395	0.6954	0.4004	0.7115	0.6453	0.7414	0.3971	0.3844	0.4357	0.4553	0.5194	0.5877	0.6571	0.3074	0.6019	0.4802	0.5519	0.3835	0.5627
ERCC-00012(+)	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.2314	0.9235	1.0	1.0	1.0	1.0	1.0	1.0	0.9336	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.835	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.833	1.0	1.0	0.8571	1.0	1.0	1.3622	1.0	1.0	1.0	0.9588	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.6117	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9356	1.0	1.0	1.0	0.9175	1.0	1.0	1.0	1.0	0.7394	1.0	1.0	1.0	1.0	0.9326	0.9487	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.1268	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ERCC-00013(+)	1.0	1.0	4.5347	1.0	1.505	1.0	1.0	1.0	1.0	1.2871	1.0	0.9505	1.4653	2.7228	0.8812	1.0	1.0	0.9233	2.4035	4.9604	0.8515	1.0	1.0	1.0	1.0	1.0	0.8391	1.4158	1.0	1.0	1.0	1.0	0.8168	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8948	1.0	0.7228	1.0	1.0	0.7843	1.9901	1.7748	1.0	1.9975	1.0	0.6572	1.0	1.0	1.0	1.0	1.0	1.7116	0.6955	1.0	1.0	1.0	1.0	0.9901	1.3874	1.0	1.0	1.0	1.0458	1.0	1.0	1.0	1.0	2.1683	1.0	0.5767	1.1541	1.0	1.0	1.0	1.9802	1.0	1.0	1.0	1.0	1.0	0.9592	1.0	0.9418	1.0	0.6522	1.0	1.0	1.0	0.9183	1.0	0.651	0.9554	0.7599	0.8738	0.9468	0.672	1.0	1.0	0.9307	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6559	1.0	0.7946	1.0	0.6448	1.0	1.0	1.0	1.0	1.0	1.0	0.7265	1.0	1.0	1.0	0.896	0.7884	1.5446	1.0	1.0	1.3063	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.604	1.0	1.0	0.797	1.0	1.0	1.0	1.0	1.0	1.8062	4.4455	0.698	0.6696	1.0	1.0	1.0	0.9653	1.0	1.0	1.0	1.0	1.0
ERCC-00014(+)	2.9601	1.6205	1.7936	2.2423	1.9719	2.6007	3.3911	2.8652	4.2376	1.0825	1.9355	1.2333	1.7435	1.7798	2.4386	1.1559	2.3643	2.4147	2.9374	2.8134	1.5261	1.5207	1.7603	1.3643	1.7622	1.2798	2.5312	1.2947	2.0776	0.909	1.5031	0.9203	0.838	4.3203	1.9321	1.2907	2.6944	5.1237	1.2954	1.778	1.7348	1.2155	1.5411	0.8881	4.2226	0.9264	0.7966	1.2938	1.1299	1.4778	1.51	1.8392	1.7058	1.765	1.3247	1.2391	1.6653	1.613	1.714	2.0567	1.8723	2.388	1.4758	1.7614	2.11	1.1187	2.1805	2.3474	1.7869	2.2873	3.8533	2.1682	1.4171	0.8954	1.4765	1.2401	1.0382	1.6971	3.6681	1.1686	0.8832	1.291	2.0536	2.2187	1.9663	0.8748	1.4343	1.2839	2.4104	0.8489	1.5349	0.7993	1.9153	0.9452	0.9379	1.106	1.0739	1.7119	1.786	1.4073	1.7506	1.5825	1.2714	1.3004	1.4681	1.0531	2.0962	2.8636	0.7406	2.5117	0.8995	1.0129	1.0534	0.796	0.8989	1.205	0.8774	0.9204	1.0373	0.8729	0.6672	0.713	1.5383	2.6239	1.1116	1.1251	0.9075	1.3019	1.4052	0.7946	1.883	1.0	1.4108	1.4987	1.5437	2.8862	1.1574	2.7138	3.2299	1.7823	2.3306	0.9632	1.2575	0.9504	0.9875	1.278	1.9671	2.2504	1.4538	0.9561	1.3132	1.8636	1.0976	2.4849	1.6198	1.5912	0.8815	1.9131	0.9259	1.7725	1.1792	1.8629	3.3942	1.1298	2.4445	0.9065	1.5019	0.9011
ERCC-00016(+)	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.6445	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.4455	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9289	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9289	1.0	1.0	1.0	1.0	1.0	1.7014	1.0	1.0
ERCC-00017(+)	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.7896	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9111	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8081	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.7491	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.75	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.7465	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.7324	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.2958	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ERCC-00019(+)	1.2141	0.9193	0.9342	1.2529	0.9133	0.9127	3.5474	0.9829	2.0761	0.8243	3.0497	1.0059	1.4105	0.7124	0.4955	0.3845	6.3286	1.1195	0.721	1.41	0.9833	0.2384	0.8161	0.8068	1.0051	0.7636	1.1415	0.9885	0.4957	1.4484	1.6038	1.2719	0.3859	0.3863	0.4715	1.0512	0.8942	0.6111	0.4499	0.2834	1.2537	0.747	1.1691	1.0239	0.9839	0.6256	1.2295	0.7181	0.4832	0.7735	1.6097	0.324	1.4404	0.9917	0.2231	1.4413	0.1453	0.3251	0.4781	0.7445	0.6491	0.3014	0.4465	0.2717	0.3121	0.3108	0.7176	0.3378	0.1442	0.4568	0.4297	0.2322	1.0013	0.4514	0.2907	0.5622	0.6582	0.4258	0.2322	0.5119	0.4025	0.5409	0.2857	0.6616	0.7491	0.7585	0.4287	0.4579	0.4435	0.8143	0.5388	0.802	0.3885	0.5744	0.6829	0.2925	0.1825	0.4053	0.2606	0.6316	0.9643	0.5908	0.1953	0.2455	0.4762	0.2082	0.3807	0.6307	0.1615	0.7318	0.3355	0.2545	0.2543	0.6053	0.2539	0.7187	0.3093	0.6646	0.4182	0.3001	0.6398	1.0073	0.3728	0.1798	0.6949	0.1151	0.3553	0.7267	0.4303	5.4243	1.704	1.5839	1.264	1.0	1.588	0.286	0.5004	0.9484	0.9829	2.5983	1.8851	3.5714	1.0783	0.9067	1.0	0.5015	0.4918	1.1994	2.0028	0.3097	0.534	0.2896	0.4763	0.6619	0.994	0.6765	0.328	1.0136	0.9159	0.4293	0.6881	0.2571	0.8443	0.3702	0.2952	0.2676	0.688	0.2172
