Alias	ERCC Pearson R
DB_1_F_02_S44_L004	0.807658
DB_1_F_04_S46_L004	0.837004
DB_1_F_06_S48_L004	0.858766
DB_1_F_10_S51_L004	0.814134
DB_1_F_12_S53_L004	0.807823
DB_1_F_14_S55_L004	0.878301
DB_1_L_01_S43_L004	0.753139
DB_1_L_03_S45_L004	0.827846
DB_1_L_05_S47_L004	0.872462
DB_1_L_07_S49_L004	0.863560
DB_1_L_09_S50_L004	0.782584
DB_1_L_11_S52_L004	0.802431
DB_1_L_13_S54_L004	0.874644
DB_1_L_15_S56_L004	0.843426
DB_2_F_02_S58_L004	0.919160
DB_2_F_04_S60_L004	0.914254
DB_2_F_06_S62_L004	0.863302
DB_2_F_10_S65_L004	0.886240
DB_2_F_12_S67_L004	0.897889
DB_2_F_14_S69_L004	0.903416
DB_2_L_01_S57_L004	0.959158
DB_2_L_03_S59_L004	0.945522
DB_2_L_05_S61_L004	0.913233
DB_2_L_07_S63_L004	0.920503
DB_2_L_09_S64_L004	0.875409
DB_2_L_11_S66_L004	0.909929
DB_2_L_13_S68_L004	0.902234
DB_2_L_15_S70_L004	0.914698
DB_3_F_02_S72_L004	0.928604
DB_3_F_04_S74_L004	0.950821
DB_3_F_06_S76_L004	0.899086
DB_3_F_10_S79_L004	0.950171
DB_3_F_12_S81_L004	0.861810
DB_3_F_14_S83_L004	0.932797
DB_3_L_01_S71_L004	0.923151
DB_3_L_03_S73_L004	0.943018
DB_3_L_05_S75_L004	0.922780
DB_3_L_07_S77_L004	0.896594
DB_3_L_09_S78_L004	0.924979
DB_3_L_11_S80_L004	0.913072
DB_3_L_13_S82_L004	0.947949
DB_3_L_15_S84_L004	0.950804
MB_1_F_04_S1_L001	0.899697
MB_1_F_05_S2_L001	0.835232
MB_1_F_06_S3_L001	0.907648
MB_1_F_12_S4_L001	0.918339
MB_1_F_13_S5_L001	0.931556
MB_1_F_14_S6_L001	0.922840
MB_1_L_01_S7_L001	0.943805
MB_1_L_02_S8_L001	0.931768
MB_1_L_03_S9_L001	0.915068
MB_1_L_07_S10_L001	0.913513
MB_1_L_09_S11_L001	0.909864
MB_1_L_10_S12_L001	0.919422
MB_1_L_11_S13_L001	0.937886
MB_1_L_15_S14_L001	0.950001
MB_2_F_04_S15_L001	0.914565
MB_2_F_05_S16_L001	0.947374
MB_2_F_06_S17_L001	0.930746
MB_2_F_12_S18_L001	0.917375
MB_2_F_13_S19_L001	0.928706
MB_2_F_14_S20_L001	0.923379
MB_2_L_01_S21_L001	0.932124
MB_2_L_02_S22_L001	0.930976
MB_2_L_03_S23_L001	0.945991
MB_2_L_07_S24_L001	0.929877
MB_2_L_09_S25_L001	0.931679
MB_2_L_11_S26_L001	0.950421
MB_2_L_15_S27_L001	0.946967
MB_3_F_04_S28_L001	0.923153
MB_3_F_05_S29_L001	0.926602
MB_3_F_06_S30_L001	0.943774
MB_3_F_12_S31_L001	0.941663
MB_3_F_13_S32_L001	0.960124
MB_3_F_14_S33_L001	0.920456
MB_3_L_01_S34_L001	0.923178
MB_3_L_02_S35_L001	0.943975
MB_3_L_03_S36_L001	0.948029
MB_3_L_07_S37_L001	0.939727
MB_3_L_08_S38_L001	0.943689
MB_3_L_09_S39_L001	0.948291
MB_3_L_10_S40_L001	0.959238
MB_3_L_11_S41_L001	0.944399
MB_3_L_15_S42_L001	0.951218
MJS_1_F_05_S43_L001	0.929507
MJS_1_F_06_S44_L001	0.933902
MJS_1_F_07_S45_L001	0.935418
MJS_1_F_13_S46_L001	0.919635
MJS_1_F_14_S47_L001	0.942094
MJS_1_F_15_S48_L001	0.935987
MJS_1_L_01_S49_L001	0.935215
MJS_1_L_02_S50_L001	0.955265
MJS_1_L_03_S51_L001	0.940993
MJS_1_L_04_S52_L001	0.939437
MJS_1_L_09_S53_L001	0.897382
MJS_1_L_10_S54_L001	0.946917
MJS_1_L_11_S55_L001	0.911380
MJS_1_L_12_S56_L001	0.953782
MJS_2_F_04_S57_L001	0.929651
MJS_2_F_05_S58_L001	0.939784
MJS_2_F_06_S59_L001	0.953429
MJS_2_F_12_S60_L001	0.945302
MJS_2_F_13_S61_L001	0.922526
MJS_2_F_14_S62_L001	0.907982
MJS_2_L_01_S63_L001	0.951215
MJS_2_L_02_S64_L001	0.922927
MJS_2_L_03_S65_L001	0.951585
MJS_2_L_07_S66_L001	0.934095
MJS_2_L_09_S67_L001	0.925423
MJS_2_L_10_S68_L001	0.939218
MJS_2_L_11_S69_L001	0.941869
MJS_2_L_15_S70_L001	0.953776
MJS_3_F_04_S71_L001	0.945168
MJS_3_F_06_S72_L001	0.943323
MJS_3_F_12_S73_L001	0.969570
MJS_3_F_13_S74_L001	0.965631
MJS_3_F_14_S75_L001	0.943880
MJS_3_F_16_S76_L001	0.922079
MJS_3_L_01_S77_L001	0.929701
MJS_3_L_02_S78_L001	0.951539
MJS_3_L_03_S79_L001	0.952789
MJS_3_L_07_S80_L001	0.948586
MJS_3_L_09_S81_L001	0.951182
MJS_3_L_10_S82_L001	0.958528
MJS_3_L_11_S83_L001	0.947265
MJS_3_L_15_S84_L001	0.954535
NM_1_F_04_S4_L004	0.906404
NM_1_F_05_S5_L004	0.871913
NM_1_F_06_S6_L004	0.924537
NM_1_F_12_S11_L004	0.946915
NM_1_F_13_S12_L004	0.886322
NM_1_F_14_S13_L004	0.880345
NM_1_L_01_S1_L004	0.908862
NM_1_L_02_S2_L004	0.926830
NM_1_L_03_S3_L004	0.902213
NM_1_L_07_S7_L004	0.939715
