Alias	ERCC Pearson R
DB_1_F_02_S44_L004_	0.867384
DB_1_F_04_S46_L004_	0.897301
DB_1_F_06_S48_L004_	0.911786
DB_1_F_10_S51_L004_	0.894935
DB_1_F_12_S53_L004_	0.917813
DB_1_F_14_S55_L004_	0.938927
DB_1_L_01_S43_L004_	0.873144
DB_1_L_03_S45_L004_	0.887503
DB_1_L_05_S47_L004_	0.930246
DB_1_L_07_S49_L004_	0.907098
DB_1_L_09_S50_L004_	0.820218
DB_1_L_11_S52_L004_	0.820306
DB_1_L_13_S54_L004_	0.918948
DB_1_L_15_S56_L004_	0.934315
DB_2_F_02_S58_L004_	0.947705
DB_2_F_04_S60_L004_	0.930757
DB_2_F_06_S62_L004_	0.930127
DB_2_F_10_S65_L004_	0.928735
DB_2_F_12_S67_L004_	0.912152
DB_2_F_14_S69_L004_	0.920334
DB_2_L_01_S57_L004_	0.953878
DB_2_L_03_S59_L004_	0.945903
DB_2_L_05_S61_L004_	0.946738
DB_2_L_07_S63_L004_	0.958144
DB_2_L_09_S64_L004_	0.927175
DB_2_L_11_S66_L004_	0.938759
DB_2_L_13_S68_L004_	0.917680
DB_2_L_15_S70_L004_	0.940194
DB_3_F_02_S72_L004_	0.947769
DB_3_F_04_S74_L004_	0.940151
DB_3_F_06_S76_L004_	0.943095
DB_3_F_10_S79_L004_	0.932140
DB_3_F_12_S81_L004_	0.932527
DB_3_F_14_S83_L004_	0.950384
DB_3_L_01_S71_L004_	0.955627
DB_3_L_03_S73_L004_	0.957096
DB_3_L_05_S75_L004_	0.962640
DB_3_L_07_S77_L004_	0.930380
DB_3_L_09_S78_L004_	0.941850
DB_3_L_11_S80_L004_	0.953217
DB_3_L_13_S82_L004_	0.953001
DB_3_L_15_S84_L004_	0.959224
MB_1_F_04_S1_L001_	0.944895
MB_1_F_05_S2_L001_	0.901798
MB_1_F_06_S3_L001_	0.940235
MB_1_F_12_S4_L001_	0.946727
MB_1_F_13_S5_L001_	0.942771
MB_1_F_14_S6_L001_	0.947708
MB_1_L_01_S7_L001_	0.946704
MB_1_L_02_S8_L001_	0.944306
MB_1_L_03_S9_L001_	0.951092
MB_1_L_07_S10_L001_	0.939370
MB_1_L_09_S11_L001_	0.928654
MB_1_L_10_S12_L001_	0.945387
MB_1_L_11_S13_L001_	0.942019
MB_1_L_15_S14_L001_	0.956400
MB_2_F_04_S15_L001_	0.946262
MB_2_F_05_S16_L001_	0.953255
MB_2_F_06_S17_L001_	0.942186
MB_2_F_12_S18_L001_	0.941590
MB_2_F_13_S19_L001_	0.956866
MB_2_F_14_S20_L001_	0.934289
MB_2_L_01_S21_L001_	0.953984
MB_2_L_02_S22_L001_	0.949899
MB_2_L_03_S23_L001_	0.944649
MB_2_L_07_S24_L001_	0.948265
MB_2_L_09_S25_L001_	0.952099
MB_2_L_11_S26_L001_	0.952168
MB_2_L_15_S27_L001_	0.956672
MB_3_F_04_S28_L001_	0.939740
MB_3_F_05_S29_L001_	0.961588
MB_3_F_06_S30_L001_	0.958697
MB_3_F_12_S31_L001_	0.942616
MB_3_F_13_S32_L001_	0.958339
MB_3_F_14_S33_L001_	0.942572
MB_3_L_01_S34_L001_	0.934092
MB_3_L_02_S35_L001_	0.951396
MB_3_L_03_S36_L001_	0.955628
MB_3_L_07_S37_L001_	0.948479
MB_3_L_08_S38_L001_	0.942006
MB_3_L_09_S39_L001_	0.958682
MB_3_L_10_S40_L001_	0.956504
MB_3_L_11_S41_L001_	0.946213
MB_3_L_15_S42_L001_	0.959915
MJS_1_F_05_S43_L001_	0.957757
MJS_1_F_06_S44_L001_	0.953623
MJS_1_F_07_S45_L001_	0.962328
MJS_1_F_13_S46_L001_	0.949493
MJS_1_F_14_S47_L001_	0.952511
MJS_1_F_15_S48_L001_	0.958023
MJS_1_L_01_S49_L001_	0.924470
MJS_1_L_02_S50_L001_	0.962097
MJS_1_L_03_S51_L001_	0.935552
MJS_1_L_04_S52_L001_	0.947126
MJS_1_L_09_S53_L001_	0.925493
MJS_1_L_10_S54_L001_	0.940535
MJS_1_L_11_S55_L001_	0.950052
MJS_1_L_12_S56_L001_	0.956217
MJS_2_F_04_S57_L001_	0.951924
MJS_2_F_05_S58_L001_	0.949334
MJS_2_F_06_S59_L001_	0.950808
MJS_2_F_12_S60_L001_	0.948442
MJS_2_F_13_S61_L001_	0.945355
MJS_2_F_14_S62_L001_	0.944963
MJS_2_L_01_S63_L001_	0.955469
MJS_2_L_02_S64_L001_	0.945583
MJS_2_L_03_S65_L001_	0.957992
MJS_2_L_07_S66_L001_	0.955551
MJS_2_L_09_S67_L001_	0.945955
MJS_2_L_10_S68_L001_	0.951774
MJS_2_L_11_S69_L001_	0.957556
