transcript_id,who,tissue,ERCC_R,batch
DB_1_F_02_S44_L004,DB,fry,0.867384,db1
DB_1_F_04_S46_L004,DB,fry,0.897301,db1
DB_1_F_06_S48_L004,DB,fry,0.911786,db1
DB_1_F_10_S51_L004,DB,fry,0.894935,db1
DB_1_F_12_S53_L004,DB,fry,0.917813,db1
DB_1_F_14_S55_L004,DB,fry,0.938927,db1
DB_1_L_01_S43_L004,DB,liver,0.873144,db1
DB_1_L_03_S45_L004,DB,liver,0.887503,db1
DB_1_L_05_S47_L004,DB,liver,0.930246,db1
DB_1_L_07_S49_L004,DB,liver,0.907098,db1
DB_1_L_09_S50_L004,DB,liver,0.820218,db1
DB_1_L_11_S52_L004,DB,liver,0.820306,db1
DB_1_L_13_S54_L004,DB,liver,0.918948,db1
DB_1_L_15_S56_L004,DB,liver,0.934315,db1
DB_2_F_02_S58_L004,DB,fry,0.947705,db2
DB_2_F_04_S60_L004,DB,fry,0.930757,db2
DB_2_F_06_S62_L004,DB,fry,0.930127,db2
DB_2_F_10_S65_L004,DB,fry,0.928735,db2
DB_2_F_12_S67_L004,DB,fry,0.912152,db2
DB_2_F_14_S69_L004,DB,fry,0.920334,db2
DB_2_L_01_S57_L004,DB,liver,0.953878,db2
DB_2_L_03_S59_L004,DB,liver,0.945903,db2
DB_2_L_05_S61_L004,DB,liver,0.946738,db2
DB_2_L_07_S63_L004,DB,liver,0.958144,db2
DB_2_L_09_S64_L004,DB,liver,0.927175,db2
DB_2_L_11_S66_L004,DB,liver,0.938759,db2
DB_2_L_13_S68_L004,DB,liver,0.91768,db2
DB_2_L_15_S70_L004,DB,liver,0.940194,db2
DB_3_F_02_S72_L004,DB,fry,0.947769,db3
DB_3_F_04_S74_L004,DB,fry,0.940151,db3
DB_3_F_06_S76_L004,DB,fry,0.943095,db3
DB_3_F_10_S79_L004,DB,fry,0.93214,db3
DB_3_F_12_S81_L004,DB,fry,0.932527,db3
DB_3_F_14_S83_L004,DB,fry,0.950384,db3
DB_3_L_01_S71_L004,DB,liver,0.955627,db3
DB_3_L_03_S73_L004,DB,liver,0.957096,db3
DB_3_L_05_S75_L004,DB,liver,0.96264,db3
DB_3_L_07_S77_L004,DB,liver,0.93038,db3
DB_3_L_09_S78_L004,DB,liver,0.94185,db3
DB_3_L_11_S80_L004,DB,liver,0.953217,db3
DB_3_L_13_S82_L004,DB,liver,0.953001,db3
DB_3_L_15_S84_L004,DB,liver,0.959224,db3
MB_1_F_04_S1_L001,MB,fry,0.944895,mb1
MB_1_F_05_S2_L001,MB,fry,0.901798,mb1
MB_1_F_06_S3_L001,MB,fry,0.940235,mb1
MB_1_F_12_S4_L001,MB,fry,0.946727,mb1
MB_1_F_13_S5_L001,MB,fry,0.942771,mb1
MB_1_F_14_S6_L001,MB,fry,0.947708,mb1
MB_1_L_01_S7_L001,MB,liver,0.946704,mb1
MB_1_L_02_S8_L001,MB,liver,0.944306,mb1
MB_1_L_03_S9_L001,MB,liver,0.951092,mb1
MB_1_L_07_S10_L001,MB,liver,0.93937,mb1
MB_1_L_09_S11_L001,MB,liver,0.928654,mb1
MB_1_L_10_S12_L001,MB,liver,0.945387,mb1
MB_1_L_11_S13_L001,MB,liver,0.942019,mb1
MB_1_L_15_S14_L001,MB,liver,0.9564,mb1
MB_2_F_04_S15_L001,MB,fry,0.946262,mb2
MB_2_F_05_S16_L001,MB,fry,0.953255,mb2
MB_2_F_06_S17_L001,MB,fry,0.942186,mb2
MB_2_F_12_S18_L001,MB,fry,0.94159,mb2
MB_2_F_13_S19_L001,MB,fry,0.956866,mb2
MB_2_F_14_S20_L001,MB,fry,0.934289,mb2
MB_2_L_01_S21_L001,MB,liver,0.953984,mb2
MB_2_L_02_S22_L001,MB,liver,0.949899,mb2
MB_2_L_03_S23_L001,MB,liver,0.944649,mb2
MB_2_L_07_S24_L001,MB,liver,0.948265,mb2
MB_2_L_09_S25_L001,MB,liver,0.952099,mb2
MB_2_L_11_S26_L001,MB,liver,0.952168,mb2
MB_2_L_15_S27_L001,MB,liver,0.956672,mb2
MB_3_F_04_S28_L001,MB,fry,0.93974,mb3
MB_3_F_05_S29_L001,MB,fry,0.961588,mb3
MB_3_F_06_S30_L001,MB,fry,0.958697,mb3
MB_3_F_12_S31_L001,MB,fry,0.942616,mb3
MB_3_F_13_S32_L001,MB,fry,0.958339,mb3
MB_3_F_14_S33_L001,MB,fry,0.942572,mb3
MB_3_L_01_S34_L001,MB,liver,0.934092,mb3
MB_3_L_02_S35_L001,MB,liver,0.951396,mb3
MB_3_L_03_S36_L001,MB,liver,0.955628,mb3
MB_3_L_07_S37_L001,MB,liver,0.948479,mb3
MB_3_L_08_S38_L001,MB,liver,0.942006,mb3
MB_3_L_09_S39_L001,MB,liver,0.958682,mb3
MB_3_L_10_S40_L001,MB,liver,0.956504,mb3
MB_3_L_11_S41_L001,MB,liver,0.946213,mb3
MB_3_L_15_S42_L001,MB,liver,0.959915,mb3
MJS_1_F_05_S43_L001,MJS,fry,0.957757,mjs1
MJS_1_F_06_S44_L001,MJS,fry,0.953623,mjs1
MJS_1_F_07_S45_L001,MJS,fry,0.962328,mjs1
MJS_1_F_13_S46_L001,MJS,fry,0.949493,mjs1
MJS_1_F_14_S47_L001,MJS,fry,0.952511,mjs1
MJS_1_F_15_S48_L001,MJS,fry,0.958023,mjs1
MJS_1_L_01_S49_L001,MJS,liver,0.92447,mjs1
MJS_1_L_02_S50_L001,MJS,liver,0.962097,mjs1
MJS_1_L_03_S51_L001,MJS,liver,0.935552,mjs1
MJS_1_L_04_S52_L001,MJS,liver,0.947126,mjs1
MJS_1_L_09_S53_L001,MJS,liver,0.925493,mjs1
MJS_1_L_10_S54_L001,MJS,liver,0.940535,mjs1
MJS_1_L_11_S55_L001,MJS,liver,0.950052,mjs1
MJS_1_L_12_S56_L001,MJS,liver,0.956217,mjs1
MJS_2_F_04_S57_L001,MJS,fry,0.951924,mjs2
MJS_2_F_05_S58_L001,MJS,fry,0.949334,mjs2
MJS_2_F_06_S59_L001,MJS,fry,0.950808,mjs2
MJS_2_F_12_S60_L001,MJS,fry,0.948442,mjs2
MJS_2_F_13_S61_L001,MJS,fry,0.945355,mjs2
MJS_2_F_14_S62_L001,MJS,fry,0.944963,mjs2
MJS_2_L_01_S63_L001,MJS,liver,0.955469,mjs2
MJS_2_L_02_S64_L001,MJS,liver,0.945583,mjs2
MJS_2_L_03_S65_L001,MJS,liver,0.957992,mjs2
MJS_2_L_07_S66_L001,MJS,liver,0.955551,mjs2
MJS_2_L_09_S67_L001,MJS,liver,0.945955,mjs2
MJS_2_L_10_S68_L001,MJS,liver,0.951774,mjs2
MJS_2_L_11_S69_L001,MJS,liver,0.957556,mjs2
MJS_2_L_15_S70_L001,MJS,liver,0.953075,mjs2
MJS_3_F_04_S71_L001,MJS,fry,0.95555,mjs3
MJS_3_F_06_S72_L001,MJS,fry,0.952785,mjs3
MJS_3_F_12_S73_L001,MJS,fry,0.962284,mjs3
MJS_3_F_13_S74_L001,MJS,fry,0.96147,mjs3
MJS_3_F_14_S75_L001,MJS,fry,0.96028,mjs3
MJS_3_F_16_S76_L001,MJS,fry,0.952234,mjs3
MJS_3_L_01_S77_L001,MJS,liver,0.956321,mjs3
MJS_3_L_02_S78_L001,MJS,liver,0.95583,mjs3
MJS_3_L_03_S79_L001,MJS,liver,0.953672,mjs3
MJS_3_L_07_S80_L001,MJS,liver,0.943777,mjs3
MJS_3_L_09_S81_L001,MJS,liver,0.945788,mjs3
